GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dnzpfn,39.3640136719,-80.0573730469,39.3640136719,-80.068359375,39.3695068359,-80.0573730469,39.3695068359,-80.068359375,1
dnzpgd,39.3420410156,-79.9914550781,39.3420410156,-80.0024414062,39.3475341797,-79.9914550781,39.3475341797,-80.0024414062,1
dnzpj9,39.2047119141,-79.9035644531,39.2047119141,-79.9145507812,39.2102050781,-79.9035644531,39.2102050781,-79.9145507812,1
dnzpyz,39.3695068359,-79.8486328125,39.3695068359,-79.8596191406,39.375,-79.8486328125,39.375,-79.8596191406,1
dnzq17,39.0399169922,-79.7387695312,39.0399169922,-79.7497558594,39.0454101562,-79.7387695312,39.0454101562,-79.7497558594,1
dnzq6v,39.0948486328,-79.6728515625,39.0948486328,-79.6838378906,39.1003417969,-79.6728515625,39.1003417969,-79.6838378906,1
dnzqf1,39.1607666016,-79.7058105469,39.1607666016,-79.716796875,39.1662597656,-79.7058105469,39.1662597656,-79.716796875,1
dnzqtn,39.1442871094,-79.5739746094,39.1442871094,-79.5849609375,39.1497802734,-79.5739746094,39.1497802734,-79.5849609375,1
dnzqty,39.1442871094,-79.541015625,39.1442871094,-79.5520019531,39.1497802734,-79.541015625,39.1497802734,-79.5520019531,1
dnzqxf,39.1223144531,-79.453125,39.1223144531,-79.4641113281,39.1278076172,-79.453125,39.1278076172,-79.4641113281,1
dnzrj6,39.2102050781,-79.5629882812,39.2102050781,-79.5739746094,39.2156982422,-79.5629882812,39.2156982422,-79.5739746094,1
dnzs5g,38.6883544922,-79.27734375,38.6883544922,-79.2883300781,38.6938476562,-79.27734375,38.6938476562,-79.2883300781,1
dnzs5r,38.7103271484,-79.2993164062,38.7103271484,-79.3103027344,38.7158203125,-79.2993164062,38.7158203125,-79.3103027344,1
dnzs9p,38.7982177734,-79.3981933594,38.7982177734,-79.4091796875,38.8037109375,-79.3981933594,38.8037109375,-79.4091796875,1
dnzsu6,38.8146972656,-79.2553710938,38.8146972656,-79.2663574219,38.8201904297,-79.2553710938,38.8201904297,-79.2663574219,1
dnzt7n,38.9245605469,-79.3103027344,38.9245605469,-79.3212890625,38.9300537109,-79.3103027344,38.9300537109,-79.3212890625,1
dnztes,38.9575195312,-79.2883300781,38.9575195312,-79.2993164062,38.9630126953,-79.2883300781,38.9630126953,-79.2993164062,1
dnzn8r,39.1497802734,-80.1342773438,39.1497802734,-80.1452636719,39.1552734375,-80.1342773438,39.1552734375,-80.1452636719,1
dnzn7h,39.0893554688,-80.0134277344,39.0893554688,-80.0244140625,39.0948486328,-80.0134277344,39.0948486328,-80.0244140625,1
dnz5dz,38.6224365234,-80.0244140625,38.6224365234,-80.0354003906,38.6279296875,-80.0244140625,38.6279296875,-80.0354003906,1
dnzn26,39.0783691406,-80.1342773438,39.0783691406,-80.1452636719,39.0838623047,-80.1342773438,39.0838623047,-80.1452636719,1
dnz7yy,38.6608886719,-79.4970703125,38.6608886719,-79.5080566406,38.6663818359,-79.4970703125,38.6663818359,-79.5080566406,1
