LAT,LONG,CRTSRoadsI,Bridgesect,SECTnum,DATE_CC_OR,COUNTY,COUNTYNUM,signsystem,routenum,BEGINMP,subroute,supplement,FROMtermin,ENDMP,TOtermini,LENGTH,ROUTEID,LOC_ERROR,LabelRt,LabelSRt,Search,Shape_len
37.77450599480679,-82.23784595795139,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.7744329840797,-82.23769397297256,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.7743640081797,-82.23752598703599,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77429997770805,-82.23736601345446,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.7742460178203,-82.23719003484941,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77420003105122,-82.23702201431838,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77415797553664,-82.23684696704076,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77411702770327,-82.23667099662795,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77408202265577,-82.23648803294743,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77405499075705,-82.23631302716558,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77403298986327,-82.23612996641589,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77401401515222,-82.23594696778248,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77400200807109,-82.23576396895898,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77398698410962,-82.23557996656783,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77397496604839,-82.23540500190154,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77396798932771,-82.23521394809345,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77396001232897,-82.23503905075651,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77395202808235,-82.23485601447319,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77394496629231,-82.23467299356848,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77393304103249,-82.2344890430511,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77392597867087,-82.23430602221231,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77391799328245,-82.23412298606021,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77391101339762,-82.233939966658,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77389900318847,-82.23375696832697,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77388799848281,-82.23357398676073,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
